replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
30b39723-6665-4227-b8bb-dbfd8953ff41;NV vs PK -2-2020-08-23.20.55;Urban Central (Dawn);2020-08-23 20:55:42;loss;KNIGHTS;TEAM ENVY;934;1;1;6;9;8;2;11.11;1130;149.08;6541;4419;2122;52;192;1403;892;511;10;47;90.4;151.07;882;860;114;1476783;522.1;381.79;144.79;606.11;383;59.58;20.39;200;275.7;772.97;275.7;685.72;362.96;516.12;332.96;199.6;0;3
c4028365-3983-4a99-96ac-f24a476ac6c9;NRG vs SSG -3-2020-08-24.01.22;Neo Tokyo (Standard);2020-08-24 01:22:34;loss;NRG;SPACESTATION;661;0;0;1;13;3;1;0;1206;156.71;6526;4643;1883;59;170;1424;811;613;10;54;90.18;109.27;1236;1237;205;1489430;432.17;383.34;174.08;572.69;370.71;46.2;22.39;223;247.42;742.18;247.42;574.64;414.95;393.17;342.56;253.86;1;1
c4028365-3983-4a99-96ac-f24a476ac6c9;NRG vs SSG -3-2020-08-24.01.22;Neo Tokyo (Standard);2020-08-24 01:22:34;win;SPACESTATION;NRG;1473;1;1;11;3;13;0;33.33;1204;153.24;6704;4881;1823;59;157;1044;685;359;8;32;116.86;126.39;885;1083;113;1406192;483.76;358.99;147.09;577.6;352.21;60.02;21.57;177;305.98;683.85;305.98;693.18;296.64;521.73;308.05;160.05;1;1
b50aa468-8e3b-46e9-8e7b-fe0a7fbe5bd6;NRG vs SSG -6-2020-08-24.01.39;Utopia Coliseum (Dusk);2020-08-24 01:39:43;loss;NRG;SPACESTATION;727;1;1;2;9;4;2;11.11;1218;154.5;6968;5115;1853;64;164;1195;765;430;10;37;110.78;136.03;868;1223;193;1560567;416.82;431.57;181.25;586.04;387.28;56.32;20.87;234;270.3;759.36;270.3;659.44;370.2;490.98;329.68;208.98;6;3
b50aa468-8e3b-46e9-8e7b-fe0a7fbe5bd6;NRG vs SSG -6-2020-08-24.01.39;Utopia Coliseum (Dusk);2020-08-24 01:39:43;win;SPACESTATION;NRG;1396;2;2;8;4;9;1;50;1163;148.09;6629;4817;1812;60;156;861;470;391;5;36;100.88;162.33;1096;1064;42;1443569;496.99;378.85;146.02;588.9;380.01;52.94;24.65;213;228.99;792.85;228.99;723.06;298.8;534;322.88;164.99;3;6
790aef00-0926-4a0d-8226-281f228bd34b;NV vs NRG -4-2020-08-23.23.35;Utopia Coliseum (Dusk);2020-08-23 23:35:58;loss;TEAM ENVY;NRG;811;0;0;3;9;5;1;0;1224;157.55;6591;4747;1844;55;158;1486;939;547;11;47;121.6;80.5;685;827;163;1476257;446.56;405.52;139.56;550.54;384.98;56.13;24.46;185;261.56;730.1;261.56;587.91;403.74;424.69;308.25;258.72;5;1
790aef00-0926-4a0d-8226-281f228bd34b;NV vs NRG -4-2020-08-23.23.35;Utopia Coliseum (Dusk);2020-08-23 23:35:58;win;NRG;TEAM ENVY;1234;1;0;8;5;9;0;20;1081;145.34;5855;4159;1696;52;153;896;469;427;5;37;114.56;106.79;935;1030;30;1402904;477.93;355.25;145.56;542.97;387.14;48.64;19.65;197;217.08;761.67;217.08;691.17;287.56;545.8;270.25;162.69;1;5
09ea3bf0-3ee3-484d-b45f-188219ebce51;PPS vs G2 -4-2020-08-23.22.10;Mannfield (Night);2020-08-23 22:10:05;win;THE PEEPS;G2 ESPORTS;1861;5;4;6;11;11;4;45.45;1242;135.11;10521;7531;2990;87;253;2586;1652;934;20;73;238.45;160.85;1328;1251;351;2200713;740.03;586.98;216.84;899.19;544.97;99.69;36.88;362;404.35;1139.49;404.35;1007.64;536.2;741.91;496.51;305.4;2;5
09ea3bf0-3ee3-484d-b45f-188219ebce51;PPS vs G2 -4-2020-08-23.22.10;Mannfield (Night);2020-08-23 22:10:05;loss;G2 ESPORTS;THE PEEPS;1572;4;4;5;11;11;5;36.36;1316;142.04;10991;8045;2946;91;263;2664;1675;989;19;87;179.27;129.32;1428;1139;247;2295159;648.89;627.93;273.78;804.19;639.36;107.06;35.59;365;498.23;1052.37;498.23;983.38;567.22;733.84;472.09;344.68;5;2
a67c9077-a968-49a5-894b-673c6b1a66d7;PPS vs SSG -4-2020-08-24.00.19;Utopia Coliseum (Dusk);2020-08-24 00:19:25;loss;THE PEEPS;SPACESTATION;841;1;1;6;8;8;2;12.5;1135;136.19;6328;4356;1972;51;157;1287;851;436;9;37;179.49;66.78;837;723;48;1364263;505.09;378.54;102.44;570.16;369.7;46.2;25.51;243;311.69;674.39;311.69;675.08;311;518.89;303.58;163.6;2;4
