team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
CONTINUUM;Noxes;11;2;18.18;4441;403.73;8;0.73;4;0.36;22;2;29;2.64;107;9.73;38;3.45;19;1.73;27.59;365.18;45.49;23523;2138.45;16553;1504.82;6970;633.64;198;18;593;53.91;5624;511.27;3706;336.91;1918;174.36;44;4;165;15;570.49;51.86;433.8;39.44;3576;325.09;3222;292.91;703;63.91;1489.57;5516491;501499.19;1940.75;176.43;1588.45;144.4;432.06;39.28;2263.24;205.75;1437.71;130.7;260.28;23.66;67.85;6.17;0.1;654;59.45;1337.4;121.58;1316.5;119.68;1297.5;117.95;2663.75;242.16;2686.52;244.23;1274.72;115.88;2029.93;184.54;1197.58;108.87;733.73;66.7;9;0.82;12;1.09
SPACESTATION;Retals;10;9;90.00;4825;482.5;12;1.2;8;0.8;20;2;33;3.3;94;9.4;13;1.3;4;0.4;36.36;389.2;51.75;24155;2415.5;17964;1796.4;6191;619.1;221;22.1;512;51.2;4788;478.8;3192;319.2;1596;159.6;38;3.8;128;12.8;340.06;34.01;544.7;54.47;3976;397.6;4338;433.8;654;65.4;1531.33;5204294;520429.41;1649.47;164.95;1468.03;146.8;469.4;46.94;2207.36;220.74;1159.34;115.93;220.18;22.02;74.82;7.48;0.12;636;63.6;1090.2;109.02;1181.7;118.17;964.49;96.45;2622.42;262.24;2347.59;234.76;1239.28;123.93;1749.52;174.95;1156.71;115.67;680.67;68.07;15;1.5;11;1.1
G2 ESPORTS;Rizzo;13;9;69.23;3807;292.85;8;0.62;7;0.54;12;0.92;29;2.23;81;6.23;20;1.54;4;0.31;27.59;403.84;50.71;30515;2347.31;19185;1475.77;11330;871.54;239;18.38;964;74.15;7767;597.46;4027;309.77;3740;287.69;49;3.77;317;24.38;455.45;35.03;358.15;27.55;4868;374.46;5044;388;922;70.92;1573.91;6699817;515370.53;1916.36;147.41;1858.69;142.98;722.7;55.59;2628.18;202.17;1648.4;126.8;221.19;17.01;116;8.92;0.12;969;74.54;1497.1;115.16;1462.5;112.5;1352.5;104.04;3145.28;241.94;2724.07;209.54;1773.73;136.44;1908.85;146.83;1564.18;120.32;1024.78;78.83;20;1.54;13;1
SONIQS;Satthew;20;10;50.00;6151;307.55;14;0.7;11;0.55;22;1.1;51;2.55;152;7.6;44;2.2;12;0.6;27.45;368.11;49.58;45591;2279.55;31350;1567.5;14241;712.05;383;19.15;1259;62.95;11102;555.1;6493;324.65;4609;230.45;81;4.05;399;19.95;924.29;46.21;721.85;36.09;6121;306.05;6754;337.7;1513;75.65;1514.22;10655734;532786.69;3591.18;179.56;2870.27;143.51;979.27;48.96;4456.57;222.83;2599.74;129.99;384.4;19.22;230.84;11.54;0.12;1888;94.4;2354;117.7;2610.4;130.52;2405.84;120.29;5034.9;251.75;4661.96;233.1;2778.79;138.94;3284.04;164.2;2588.05;129.4;1568.6;78.43;26;1.3;25;1.25
CHARLOTTE;Shadow;17;6;35.29;5064;297.88;7;0.41;6;0.35;20;1.18;38;2.24;156;9.18;34;2;11;0.65;18.42;408.37;45.43;40712;2394.82;25152;1479.53;15560;915.29;300;17.65;1360;80;9451;555.94;5050;297.06;4401;258.88;58;3.41;387;22.76;936.22;55.07;701.79;41.28;5637;331.59;5076;298.59;790;46.47;1580.29;9097040;535120;2580.86;151.82;2495.83;146.81;963.8;56.69;3426.53;201.56;2228.17;131.07;385.79;22.69;135.07;7.95;0.12;1143;67.24;1874.8;110.28;2057;121;1715.29;100.9;4325.2;254.42;3976.38;233.9;2064.11;121.42;2971.82;174.81;1853.79;109.05;1214.91;71.47;17;1;19;1.12
SONIQS;Shock;20;10;50.00;8914;445.7;16;0.8;14;0.7;39;1.95;66;3.3;152;7.6;44;2.2;16;0.8;24.24;379.87;55.04;46783;2339.15;31952;1597.6;14831;741.55;413;20.65;1353;67.65;12789;639.45;7892;394.6;4897;244.85;98;4.9;435;21.75;563.99;28.2;671.07;33.55;5252;262.6;9535;476.75;1977;98.85;1489.92;10485639;524281.94;3621.72;181.09;2979.31;148.97;846.63;42.33;4201.19;210.06;2767.54;138.38;478.95;23.95;143.89;7.19;0.11;1255;62.75;2567.8;128.39;2120.7;106.04;1934.14;96.71;5513.55;275.68;4708.68;235.43;2739;136.95;3455.6;172.78;2381.44;119.07;1610.64;80.53;6;0.3;19;0.95
NRG;Squishy;12;9;75.00;4681;390.08;11;0.92;11;0.92;16;1.33;29;2.42;82;6.83;14;1.17;5;0.42;37.93;393.38;51.85;27002;2250.17;19026;1585.5;7976;664.67;235;19.58;705;58.75;4978;414.83;3012;251;1966;163.83;37;3.08;176;14.67;470.93;39.24;458.6;38.22;3798;316.5;4704;392;734;61.17;1557.55;6022725;501893.75;1810.14;150.85;1609.97;134.16;670.62;55.88;2336.5;194.71;1484.74;123.73;269.44;22.45;92.79;7.73;0.09;1037;86.42;1561.8;130.15;1171.1;97.59;970.62;80.89;3120.08;260.01;2774.57;231.21;1316.17;109.68;2036.83;169.74;1311.79;109.32;742.1;61.84;14;1.17;16;1.33
SPACESTATION;Sypical;10;9;90.00;4741;474.1;9;0.9;7;0.7;30;3;30;3;94;9.4;13;1.3;0;0;30;411.86;50.6;24794;2479.4;17431;1743.1;7363;736.3;214;21.4;648;64.8;4425;442.5;2675;267.5;1750;175;31;3.1;154;15.4;353.58;35.36;513.41;51.34;3051;305.1;4261;426.1;454;45.4;1551.4;5274515;527451.5;1583.7;158.37;1443.52;144.35;566.58;56.66;2013.84;201.38;1365.17;136.52;214.81;21.48;64.98;6.5;0.1;657;65.7;1239.5;123.95;1092.2;109.22;817.87;81.79;2775.93;277.59;2498.02;249.8;1095.81;109.58;1860.07;186.01;1130.52;113.05;603.24;60.32;10;1;9;0.9
ROGUE;TURINTURO;19;8;42.11;7572;398.53;11;0.58;7;0.37;45;2.37;46;2.42;178;9.37;47;2.47;14;0.74;23.91;445.78;46.43;52091;2741.63;37151;1955.32;14940;786.32;429;22.58;1272;66.95;10188;536.21;6164;324.42;4024;211.79;71;3.74;349;18.37;1018.91;53.63;662.7;34.88;7635;401.84;5852;308;925;48.68;1555.81;10555205;555537.12;3205.07;168.69;2878.28;151.49;1097.06;57.74;4034.19;212.33;2592.32;136.44;553.85;29.15;152.02;8;0.1;1552;81.68;2390.3;125.81;2169.8;114.2;2003.71;105.46;5176.68;272.46;4691.58;246.93;2488.81;130.99;3387.12;178.27;2391.96;125.89;1401.3;73.75;23;1.21;13;0.68
JJ;Toastie;14;5;35.71;4536;324;6;0.43;2;0.14;22;1.57;48;3.43;109;7.79;26;1.86;11;0.79;12.5;435.78;44.8;37191;2656.5;24150;1725;13041;931.5;281;20.07;1085;77.5;8479;605.64;4408;314.86;4071;290.79;55;3.93;350;25;663.8;47.41;384.19;27.44;6966;497.57;4125;294.64;1132;80.86;1575.49;7839512;559965.12;2251.88;160.85;2056.78;146.91;877.24;62.66;3017.21;215.52;1850.36;132.17;318.31;22.74;146.18;10.44;0.11;1306;93.29;1709.5;122.11;1597.9;114.14;1399.22;99.94;3786.67;270.48;3221.49;230.11;1964.39;140.31;2358.39;168.46;1652.22;118.02;1175.27;83.95;18;1.29;12;0.86
