replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
423a766c-efb4-43a9-aa11-451e7385583b;CTM vs 1ST-4-2020-08-16.01.22;Mannfield (Night);2020-08-16 01:22:39;win;CONTINUUM;THE 1ST GRADERS;1707;6;4;4;19;5;1;31.58;1211;136.35;7283;5340;1943;64;173;1169;588;581;8;51;119.12;119.88;1568;958;153;1623769;460.54;461.1;185.63;642.29;402.31;62.66;14.94;137;255.51;851.75;255.51;659.28;447.98;482.85;357.78;266.62;6;0
423a766c-efb4-43a9-aa11-451e7385583b;CTM vs 1ST-4-2020-08-16.01.22;Mannfield (Night);2020-08-16 01:22:39;loss;THE 1ST GRADERS;CONTINUUM;1169;1;1;10;5;19;6;20;1197;137.56;7451;5402;2049;60;169;1535;1133;402;13;35;137.16;81.75;877;637;165;1602246;442.92;463.83;182.22;599.82;423.56;65.61;21.56;242;368.21;720.77;368.21;768.56;320.43;579.51;333.05;176.42;0;6
40dce049-624d-4de4-b74c-e372139224dd;OML vs FFF 2020-08-16.14.24;DFH Stadium;2020-08-16 14:24:21;win;OMELETTE;FFF;916;2;2;2;11;5;1;18.18;1244;154.93;7100;4938;2162;62;179;2014;1214;800;15;73;120.98;105.6;1316;1243;326;1551279;377.46;440.94;180.18;565.64;390.65;42.28;18.29;194;303.55;695.02;303.55;521.77;476.81;345.74;355.85;296.98;6;5
40dce049-624d-4de4-b74c-e372139224dd;OML vs FFF 2020-08-16.14.24;DFH Stadium;2020-08-16 14:24:21;loss;FFF;OMELETTE;1095;1;1;6;5;11;2;20;1296;132.85;6935;4881;2054;56;183;1490;1032;458;12;42;150.73;73.52;911;751;177;1497513;419.63;394.1;181.14;511.76;421.51;61.61;20.56;189;299.65;695.22;299.65;714.39;280.5;550.98;278.47;165.44;5;6
4e0eabe6-6c76-4111-93e7-0e00b37d8d82;NRG vs CW-2-2020-08-16.23.49;Urban Central (Dawn);2020-08-16 23:49:37;win;NRG;CRIMSON WINGS;1954;7;6;3;14;7;1;50;1374;141.46;8655;6685;1970;78;177;2194;1542;652;17;57;121.99;139.15;1038;1103;165;1737448;490.35;477.49;205.38;663.23;439.79;70.2;26.53;295;295.21;878.01;295.21;702.04;471.18;502;383.99;287.22;6;1
4e0eabe6-6c76-4111-93e7-0e00b37d8d82;NRG vs CW-2-2020-08-16.23.49;Urban Central (Dawn);2020-08-16 23:49:37;loss;CRIMSON WINGS;NRG;970;1;1;5;7;14;7;14.29;1149;117.57;7029;4535;2494;52;208;919;280;639;3;47;197.56;105.34;653;590;18;1561332;590.51;445.9;121.82;638.5;464.42;55.32;27.14;310;359.83;798.41;359.83;850.25;307.99;629.96;369.57;158.71;1;6
4352d547-4823-44b7-b959-c3f2e15d9ecd;MMG vs TM G1 2020-08-16.14.06;DFH Stadium;2020-08-16 14:06:27;loss;TEAM METEOR;MAMBA MODE;1191;1;1;9;8;11;2;12.5;1088;151.31;5897;3869;2028;51;168;1464;882;582;12;50;119.51;141.7;974;1300;333;1394436;485.63;375.5;133.77;564.09;384.89;45.91;23.36;229;290.37;704.53;290.37;682.45;312.43;523.54;287.24;184.12;2;1
4352d547-4823-44b7-b959-c3f2e15d9ecd;MMG vs TM G1 2020-08-16.14.06;DFH Stadium;2020-08-16 14:06:27;win;MAMBA MODE;TEAM METEOR;1228;2;2;7;11;8;1;18.18;1197;152.02;6621;4709;1912;56;170;1983;1473;510;16;47;108.49;110.06;1070;957;167;1452688;453.98;384.72;153.26;558.67;378.99;54.32;19.11;173;245.11;746.84;245.11;611.05;380.9;435.2;325.33;231.43;1;2
cb376187-ea3a-4b0e-8b36-e981b8130eec;ALP vs CW G2 2020-08-16.12.45;DFH Stadium;2020-08-16 12:45:32;win;ALPINE ESPORTS;CRIMSON WINGS;1207;3;2;4;8;5;1;37.5;1245;157.69;7240;4778;2462;59;208;1617;934;683;12;64;119.49;108.57;938;1204;289;1522997;446.25;438.22;154.04;589.55;387.67;61.31;24.99;276;295.66;742.86;295.66;665.7;372.82;478.33;337.26;222.93;2;1
cb376187-ea3a-4b0e-8b36-e981b8130eec;ALP vs CW G2 2020-08-16.12.45;DFH Stadium;2020-08-16 12:45:32;loss;CRIMSON WINGS;ALPINE ESPORTS;818;1;1;4;5;8;3;20;1133;122.96;6383;3902;2481;45;213;1478;717;761;8;64;147.14;72.55;651;522;87;1414104;548.55;385.89;102.01;617.36;374.56;44.53;33.42;346;303.97;732.47;303.97;665.12;371.33;476.55;346.74;213.15;1;2
ac10ee8a-6e25-42ac-8f05-76271e7cb538;RGE vs PPS-1-2020-08-15.21.38;DFH Stadium;2020-08-15 21:38:31;loss;ROGUE;THE PEEPS;1058;1;1;8;9;12;3;11.11;1149;143.86;6460;4134;2326;52;203;1639;856;783;10;62;168.27;105.61;1273;1048;142;1502594;468.98;387.34;168.92;605.66;360.51;59.08;21.02;209;342.1;683.15;342.1;689.91;335.35;502.48;332.07;190.69;4;4
ac10ee8a-6e25-42ac-8f05-76271e7cb538;RGE vs PPS-1-2020-08-15.21.38;DFH Stadium;2020-08-15 21:38:31;win;THE PEEPS;ROGUE;1251;3;3;5;12;9;1;25;1380;147.82;7849;5683;2166;71;187;1903;1114;789;12;62;126.25;97.22;1312;1385;116;1596138;375.09;466.22;183.29;579.95;388.85;55.8;25.89;263;244.95;779.66;244.95;644.94;379.67;448.24;354.9;221.44;4;4
b54e9e54-839f-46b2-84de-cded568b8925;72P vs CW G1 2020-08-16.15.28;DFH Stadium;2020-08-16 15:28:43;loss;72PC;CRIMSON WINGS;733;2;0;1;6;9;4;33.33;1143;157;7130;4948;2182;63;190;1457;904;553;11;50;133.02;93.79;908;1396;201;1568404;485.72;458.96;142.61;619.46;418.04;49.79;26.03;257;337.14;750.15;337.14;738.4;348.9;540.96;361.95;184.38;2;2
b54e9e54-839f-46b2-84de-cded568b8925;72P vs CW G1 2020-08-16.15.28;DFH Stadium;2020-08-16 15:28:43;win;CRIMSON WINGS;72PC;1352;4;4;3;9;6;2;44.44;1301;145.88;8005;5663;2342;68;208;2112;1485;627;16;56;128.31;118.49;1188;938;113;1598757;460.69;461.35;167.52;616.18;422.68;50.7;29.49;358;287.69;801.88;287.69;686.33;403.24;487.56;375.24;226.76;2;2
8200a9df-7747-4d66-a53c-92e7e0147fc4;RGE vs JJ-2-2020-08-15.20.56;Urban Central (Dawn);2020-08-15 20:56:23;win;ROGUE;JAMAL JABARY;1402;3;3;6;12;10;2;25;1211;146.63;7305;5042;2263;60;185;2070;1239;831;15;66;134.04;136.89;873;1022;276;1533849;554.16;411.85;132.81;633.93;390.67;74.21;21.7;189;281.03;817.78;281.03;655.65;443.17;481.16;331.01;286.65;3;2
8200a9df-7747-4d66-a53c-92e7e0147fc4;RGE vs JJ-2-2020-08-15.20.56;Urban Central (Dawn);2020-08-15 20:56:23;loss;JAMAL JABARY;ROGUE;1235;2;2;6;10;12;3;20;1189;136.11;7029;4523;2506;56;194;983;414;569;6;49;147.95;74.13;729;1124;191;1562209;538.78;395.37;163.17;596.43;432.87;68.05;29.16;259;277.47;819.84;277.47;764.79;332.53;600.08;322.66;174.58;2;3
7171bcb1-8fef-4cb6-bbf5-83dcf5067174;CTM vs 1ST-1-2020-08-16.00.58;DFH Stadium;2020-08-16 00:58:42;win;CONTINUUM;THE 1ST GRADERS;1336;3;1;7;7;12;2;42.86;1113;142.26;6725;4999;1726;63;152;945;615;330;8;28;149.59;91.51;970;1278;184;1501525;501.61;406.77;149.39;578.63;398.83;80.32;13.78;122;348.2;709.58;348.2;756.5;301.28;599.22;295.2;163.35;4;1
7171bcb1-8fef-4cb6-bbf5-83dcf5067174;CTM vs 1ST-1-2020-08-16.00.58;DFH Stadium;2020-08-16 00:58:42;loss;THE 1ST GRADERS;CONTINUUM;1029;2;2;3;12;7;3;16.67;1262;140.53;7324;4877;2447;58;222;1784;1006;778;11;69;132.22;77.48;889;984;113;1611863;397.59;456.49;195.09;565.36;425.37;58.45;20.17;246;275.86;773.3;275.86;590.82;458.36;402.7;356.91;289.58;1;4
5af821c6-334a-4099-a541-e1620401d733;XST vs DR G2 2020-08-15.14.14;DFH Stadium;2020-08-15 14:14:04;loss;DRIP;XSET;756;1;1;5;5;13;4;20;1251;138.56;6991;4769;2222;53;189;1273;672;601;7;47;153.85;54.88;849;449;29;1498271;469.89;447.2;126.24;547.3;431.37;64.65;28.57;300;343.85;699.46;343.85;709.55;333.77;515.23;344.32;183.77;3;3
5af821c6-334a-4099-a541-e1620401d733;XST vs DR G2 2020-08-15.14.14;DFH Stadium;2020-08-15 14:14:04;win;XSET;DRIP;1188;4;3;3;13;5;1;30.77;1296;155.92;7435;5433;2002;64;176;2009;1391;618;17;54;96.17;158.53;876;1033;322;1504011;487.32;412.85;142.43;571.01;390.39;81.21;21.84;209;290.24;752.37;290.24;630.1;412.51;427.64;387.41;227.56;3;3
6d63250f-e75f-46a5-b1eb-632ecce41bfe;XST vs DR G3 2020-08-15.14.21;DFH Stadium;2020-08-15 14:21:44;win;XSET;DRIP;1688;6;5;3;9;5;2;66.67;1295;147.68;7848;5679;2169;64;194;1450;836;614;9;56;132.31;118.5;1264;787;87;1602799;495.31;424.96;188.07;625.41;432.16;50.75;24.43;242;282.6;825.73;282.6;694.11;414.22;504.41;368.33;235.58;4;2
